Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2018-05-23 11-AM,ETHUSD,618.55,622.6,612.77,620.77,395.42,243578.9
2018-05-23 10-AM,ETHUSD,615,625.59,615,618.55,562.55,349226.06
2018-05-23 09-AM,ETHUSD,616.49,618.67,609,615,1413.07,865708.97
2018-05-23 08-AM,ETHUSD,620.12,626.45,612.01,616.49,871.1,539126.48
2018-05-23 07-AM,ETHUSD,641.49,641.54,619.15,620.12,3050.65,1914213.41
2018-05-23 06-AM,ETHUSD,638,642,636.88,641.49,232.62,148940.3
2018-05-23 05-AM,ETHUSD,633.52,640.04,632.16,638,272.01,173223.69
2018-05-23 04-AM,ETHUSD,639.42,639.43,631.81,633.52,642.54,407808.27
2018-05-23 03-AM,ETHUSD,634.38,641.98,632.84,639.42,1102.57,703027.23
2018-05-23 02-AM,ETHUSD,629.68,635.53,627.76,634.38,543.8,343582.71
2018-05-23 01-AM,ETHUSD,637.5,637.5,626,629.68,2952.67,1856009.25
2018-05-23 12-AM,ETHUSD,642,648.69,637.49,637.5,762.8,491463.53
2018-05-22 11-PM,ETHUSD,639.64,646.09,639.64,642,1228.14,790901.96
2018-05-22 10-PM,ETHUSD,648.96,653.3,636.3,639.64,3328.74,2145375.18
2018-05-22 09-PM,ETHUSD,654.37,657.44,648,648.96,1820.58,1186988.41
2018-05-22 08-PM,ETHUSD,665.76,666.28,653.1,654.37,3243.75,2143043.46
2018-05-22 07-PM,ETHUSD,670.1,671.93,660.97,665.76,1605.49,1067222.67
2018-05-22 06-PM,ETHUSD,674.01,674.01,670,670.1,627.51,421810.3
2018-05-22 05-PM,ETHUSD,677.55,677.65,670.13,674.01,2676.55,1800826.73
2018-05-22 04-PM,ETHUSD,677.6,680,676.06,677.55,674.07,457103.59
2018-05-22 03-PM,ETHUSD,680,680,677.57,677.6,132.0,89658.79
2018-05-22 02-PM,ETHUSD,683.69,684.74,679.98,680,377.27,257219.75
2018-05-22 01-PM,ETHUSD,676.99,686.13,676.99,683.69,1578.47,1076400.48
2018-05-22 12-PM,ETHUSD,682.63,683.29,670.17,676.99,3884.48,2621764.49
2018-05-22 11-AM,ETHUSD,688.81,689.44,681.93,682.63,84.99,58312.05
2018-05-22 10-AM,ETHUSD,683.73,690,683.73,688.81,371.37,255279.24
2018-05-22 09-AM,ETHUSD,689.3,689.3,680.76,683.73,1034.68,707680.66
2018-05-22 08-AM,ETHUSD,693.39,694,688.85,689.3,633.01,438337.06
2018-05-22 07-AM,ETHUSD,693.33,694.03,691.88,693.39,194.83,135128.87
2018-05-22 06-AM,ETHUSD,687.97,695.99,687.83,693.33,1654.83,1143876.11
2018-05-22 05-AM,ETHUSD,686.92,689,686.85,687.97,1147.71,789451.76
2018-05-22 04-AM,ETHUSD,688.18,688.18,683.44,686.92,777.87,533936.35
2018-05-22 03-AM,ETHUSD,687.8,688.55,683.14,688.18,1651.95,1132839.6
2018-05-22 02-AM,ETHUSD,687.9,691,685.84,687.8,1356.99,935073.73
2018-05-22 01-AM,ETHUSD,693.8,694.21,681.98,687.9,2652.43,1821169.47
2018-05-22 12-AM,ETHUSD,696.21,699,693.06,693.8,340.09,237320.49
2018-05-21 11-PM,ETHUSD,696.06,699,695.06,696.21,403.11,281307.02
2018-05-21 10-PM,ETHUSD,693.5,696.06,692.5,696.06,32.13,22291.66
2018-05-21 09-PM,ETHUSD,698,698,687.73,693.5,1968.39,1364093.19
2018-05-21 08-PM,ETHUSD,695.92,698.46,693.99,698,304.15,211914.44
2018-05-21 07-PM,ETHUSD,688,696.7,686.76,695.92,1162.86,805565.63
2018-05-21 06-PM,ETHUSD,694,694,687.01,688,1321.82,912254.92
2018-05-21 05-PM,ETHUSD,696.05,696.05,688.73,694,1741.24,1204600.69
2018-05-21 04-PM,ETHUSD,699.13,700,692.67,696.05,1509.02,1049494.73
2018-05-21 03-PM,ETHUSD,698.6,700,696.25,699.13,533.6,373014.84
2018-05-21 02-PM,ETHUSD,707.74,707.74,695.88,698.6,591.11,413036.69
2018-05-21 01-PM,ETHUSD,707.09,708.14,703.95,707.74,185.58,130867.49
2018-05-21 12-PM,ETHUSD,709.88,709.88,707,707.09,226.3,160209.76
2018-05-21 11-AM,ETHUSD,706.61,709.88,705,709.88,94.11,66549.74
2018-05-21 10-AM,ETHUSD,710,710.3,705.11,706.61,136.85,96754.03
2018-05-21 09-AM,ETHUSD,715.63,715.84,710,710,233.2,166289.93
2018-05-21 08-AM,ETHUSD,716.1,716.92,714.02,715.63,114.31,81888.58
2018-05-21 07-AM,ETHUSD,717.01,717.01,713.67,716.1,148.72,106509.23
2018-05-21 06-AM,ETHUSD,712.57,717.81,710.92,717.01,188.52,134846.92
2018-05-21 05-AM,ETHUSD,712.9,713,711.64,712.57,46.76,33296.76
2018-05-21 04-AM,ETHUSD,709.87,714,709.17,712.9,699.15,497298.02
2018-05-21 03-AM,ETHUSD,709.45,712.6,708.51,709.87,418.61,297599.71
2018-05-21 02-AM,ETHUSD,704.61,711.76,703.97,709.45,472.59,334611.02
2018-05-21 01-AM,ETHUSD,711.19,711.2,702.31,704.61,1016.18,718834.15
2018-05-21 12-AM,ETHUSD,713.5,715.72,708.65,711.19,386.41,275238.74
2018-05-20 11-PM,ETHUSD,711.98,714.72,710.4,713.5,403.23,287409.53
